years_experience,skills_match_score,education_level,project_count,resume_length,github_activity,shortlisted
14,82.9,Masters,16,810,578,Yes
13,66.1,Masters,15,682,464,Yes
2,52.5,High School,4,389,103,No
11,100.0,Masters,13,434,356,Yes
6,86.9,Bachelors,7,437,275,Yes
3,72.9,Masters,4,452,115,No
15,83.1,Bachelors,20,715,607,Yes
8,85.6,Masters,14,471,453,Yes
2,51.5,Bachelors,5,659,117,No
4,61.0,Bachelors,5,301,128,Yes
2,45.9,High School,5,513,140,No
6,83.1,Bachelors,5,559,86,Yes
4,72.7,High School,7,374,190,No
8,73.0,Bachelors,5,550,233,Yes
6,95.5,Bachelors,7,395,220,Yes
1,69.4,Masters,10,556,203,No
3,64.3,High School,6,679,86,No
8,81.0,Masters,8,611,373,Yes
11,60.6,Bachelors,14,865,448,Yes
13,77.6,PhD,13,747,350,Yes
1,66.2,PhD,6,511,101,No
9,74.8,Bachelors,13,681,457,Yes
8,86.1,Masters,15,400,313,Yes
9,61.0,High School,10,773,282,Yes
4,74.1,PhD,8,605,239,Yes
1,60.8,Bachelors,3,320,57,No
3,60.9,High School,4,384,7,No
11,79.7,Bachelors,14,676,514,Yes
14,59.9,High School,15,716,469,Yes
11,45.6,Bachelors,7,727,333,Yes
6,59.1,Masters,14,670,371,Yes
11,71.5,Bachelors,11,739,375,Yes
12,63.8,Bachelors,12,507,406,Yes
7,70.7,Bachelors,11,729,318,Yes
14,100.0,Bachelors,16,730,517,Yes
2,72.4,Bachelors,4,390,178,No
13,94.2,Masters,22,667,640,Yes
0,72.3,Bachelors,8,302,178,No
3,53.4,Masters,4,287,243,Yes
1,52.6,Bachelors,3,452,54,No
7,80.7,Bachelors,9,576,230,No
3,60.1,Masters,12,307,320,Yes
1,53.2,Bachelors,7,530,34,No
13,100.0,Bachelors,12,564,317,Yes
5,72.7,Masters,16,420,478,Yes
5,94.0,Bachelors,9,523,281,Yes
9,48.2,Bachelors,10,553,314,No
3,57.8,Masters,5,388,67,No
5,77.4,Masters,7,415,276,Yes
12,78.4,High School,15,759,442,Yes
14,54.7,Bachelors,15,702,552,Yes
1,51.6,High School,3,449,150,No
9,100.0,Bachelors,16,395,419,Yes
11,87.0,Masters,14,696,276,Yes
1,72.3,Masters,8,369,276,No
9,69.6,Masters,16,671,465,Yes
13,82.6,High School,12,656,380,Yes
3,63.3,Bachelors,6,422,156,No
13,100.0,Masters,13,898,384,Yes
14,100.0,Bachelors,12,709,358,Yes
15,97.4,Masters,14,900,587,Yes
14,90.3,Masters,11,900,413,Yes
7,53.8,PhD,14,746,437,Yes
13,53.3,High School,12,718,392,Yes
6,70.7,Bachelors,11,537,398,Yes
11,96.4,Masters,7,599,295,Yes
8,97.2,Masters,4,480,213,Yes
13,73.9,Masters,20,826,508,Yes
7,44.4,High School,8,594,371,No
4,83.2,Masters,6,531,107,Yes
15,79.0,Masters,17,620,555,Yes
12,53.3,High School,13,577,325,Yes
1,52.1,Bachelors,2,365,49,No
14,81.6,Masters,16,772,625,Yes
4,85.3,Bachelors,13,302,286,Yes
7,84.5,Bachelors,9,480,273,Yes
9,68.2,Masters,10,826,365,No
8,94.5,Bachelors,12,608,494,Yes
11,85.1,Masters,18,722,500,Yes
11,95.4,Bachelors,10,807,434,Yes
11,99.4,Bachelors,8,648,417,Yes
12,85.1,PhD,11,688,381,Yes
8,89.6,PhD,9,236,354,Yes
12,70.9,High School,12,767,271,Yes
14,100.0,Masters,18,739,571,Yes
12,82.9,Bachelors,15,842,482,Yes
0,67.4,High School,6,415,170,No
8,96.4,Bachelors,10,444,335,Yes
6,77.7,Bachelors,3,648,139,No
8,75.8,Masters,9,743,384,Yes
7,74.1,Masters,12,590,365,Yes
0,20.6,PhD,6,169,157,No
11,72.6,Masters,9,625,369,Yes
7,85.5,Bachelors,15,515,527,Yes
7,89.8,Masters,13,719,275,Yes
14,82.0,PhD,20,830,577,Yes
10,83.7,Masters,12,665,381,Yes
2,62.4,Masters,10,439,217,Yes
0,75.3,PhD,3,328,155,No
7,100.0,Bachelors,15,507,343,Yes
2,75.9,Masters,11,324,225,Yes
2,55.2,Masters,5,303,190,No
0,63.8,PhD,11,264,168,No
10,98.5,Bachelors,11,670,248,Yes
4,44.4,Bachelors,7,278,146,No
9,70.0,Masters,7,732,210,Yes
6,80.1,Bachelors,9,503,279,Yes
9,98.7,Masters,13,548,408,Yes
8,82.6,Bachelors,11,440,349,Yes
11,70.4,Bachelors,11,807,314,Yes
6,77.5,Bachelors,12,301,332,Yes
8,79.7,Bachelors,13,750,425,Yes
7,76.8,Bachelors,11,441,357,Yes
11,78.0,Bachelors,13,472,456,Yes
1,60.3,Bachelors,7,335,106,No
0,43.9,Bachelors,6,415,247,No
15,100.0,High School,8,808,456,Yes
6,71.9,Bachelors,7,378,299,Yes
6,81.5,Masters,7,498,302,Yes
13,84.0,Masters,20,790,621,Yes
7,84.2,Bachelors,9,546,327,Yes
4,46.0,Bachelors,6,308,139,No
2,39.1,Masters,13,507,205,No
11,79.0,Bachelors,10,582,343,Yes
7,100.0,PhD,11,326,381,Yes
5,89.4,Masters,10,534,265,Yes
10,65.4,Bachelors,11,900,361,Yes
2,69.2,Bachelors,4,378,78,No
0,48.0,Bachelors,4,394,98,No
2,63.4,High School,3,581,80,No
4,73.1,Bachelors,7,380,143,No
14,99.4,Bachelors,12,792,427,Yes
13,63.8,Masters,13,670,476,Yes
2,42.5,Bachelors,10,296,221,No
0,51.9,High School,5,150,36,No
4,53.8,Masters,12,553,312,Yes
9,58.9,Bachelors,14,437,359,Yes
6,73.6,Bachelors,11,571,311,Yes
14,71.8,Bachelors,12,783,453,Yes
13,100.0,Masters,12,537,418,Yes
6,69.0,PhD,13,676,268,Yes
10,68.9,High School,15,447,401,Yes
8,78.0,Bachelors,10,687,285,Yes
14,62.9,Bachelors,14,469,528,Yes
14,93.1,Bachelors,21,755,596,Yes
9,80.6,Bachelors,12,652,403,Yes
9,74.0,Masters,5,591,216,Yes
11,91.1,PhD,11,879,457,Yes
12,87.9,Bachelors,15,900,530,Yes
2,83.0,Bachelors,2,504,219,No
14,100.0,Masters,10,900,366,Yes
15,71.6,Bachelors,19,593,552,Yes
6,50.0,Bachelors,11,414,371,Yes
0,59.0,Bachelors,3,390,97,No
3,32.3,Bachelors,7,334,155,No
12,91.2,Bachelors,9,508,353,Yes
15,92.9,Masters,19,900,671,Yes
3,72.8,Masters,8,426,229,No
13,78.9,Bachelors,11,478,449,Yes
4,64.8,High School,9,579,179,No
6,84.1,PhD,9,522,282,Yes
6,72.5,Bachelors,10,348,239,Yes
12,65.1,Masters,12,723,338,Yes
14,83.6,High School,8,673,312,Yes
10,100.0,Bachelors,10,694,269,Yes
12,85.1,Bachelors,16,684,585,Yes
3,69.3,Masters,9,424,230,Yes
12,100.0,High School,16,776,491,Yes
15,76.3,Bachelors,23,641,640,Yes
6,82.8,Bachelors,6,583,225,Yes
10,73.3,Masters,16,729,421,Yes
2,85.3,PhD,11,267,289,Yes
5,87.0,PhD,9,517,217,Yes
11,80.8,PhD,25,757,599,Yes
1,51.0,High School,7,548,176,No
9,85.7,High School,14,564,270,Yes
12,53.7,Bachelors,12,669,447,Yes
13,76.9,Bachelors,18,855,527,Yes
8,86.6,Masters,11,693,260,Yes
4,64.6,Masters,7,410,186,No
5,69.5,Bachelors,6,417,208,No
11,52.6,Masters,16,745,476,Yes
11,74.2,PhD,11,710,370,Yes
11,89.7,Bachelors,9,544,256,Yes
11,68.2,Bachelors,15,768,538,Yes
3,44.0,Bachelors,6,230,30,No
13,99.4,Bachelors,10,705,406,Yes
13,95.0,Masters,15,900,529,Yes
10,61.2,Bachelors,13,463,488,Yes
15,85.1,High School,19,900,680,Yes
9,67.2,PhD,13,439,462,Yes
6,67.2,Bachelors,13,532,330,Yes
11,82.1,Bachelors,9,831,362,Yes
8,68.9,PhD,13,552,422,Yes
6,80.6,Bachelors,13,652,369,Yes
13,97.0,Bachelors,11,817,448,Yes
0,65.2,Masters,5,332,89,No
0,63.7,Bachelors,6,386,179,No
8,55.5,Masters,11,557,334,No
10,97.9,Bachelors,13,695,399,Yes
13,77.6,High School,19,460,461,Yes
8,59.5,Bachelors,10,595,418,Yes
3,65.7,Bachelors,8,626,155,Yes
12,96.4,Masters,19,758,570,Yes
8,84.9,Masters,12,731,369,Yes
2,52.7,PhD,5,361,141,No
6,84.6,Masters,12,655,341,Yes
5,66.6,Bachelors,7,287,274,Yes
7,82.8,Masters,12,678,359,Yes
10,69.2,Masters,15,528,468,Yes
8,92.9,Masters,16,350,478,Yes
13,90.0,Masters,16,725,499,Yes
4,87.1,Masters,10,413,218,Yes
0,34.5,Bachelors,7,408,80,No
2,44.2,Masters,7,276,237,No
9,71.9,Bachelors,15,607,379,Yes
11,100.0,Bachelors,13,322,491,Yes
7,100.0,Masters,14,472,458,Yes
14,72.2,Bachelors,17,693,559,Yes
10,73.8,High School,11,526,294,Yes
5,65.3,High School,8,405,216,No
15,100.0,Masters,18,783,549,Yes
15,100.0,Bachelors,18,871,584,Yes
7,58.5,Masters,10,435,306,Yes
8,74.5,Bachelors,13,596,449,Yes
3,33.4,Bachelors,5,417,206,No
0,69.7,Bachelors,2,459,23,No
13,82.2,Masters,22,756,723,Yes
0,39.4,Bachelors,5,376,32,No
9,88.0,PhD,24,375,630,Yes
3,65.5,PhD,14,474,267,Yes
11,100.0,Masters,18,635,626,Yes
13,77.6,PhD,16,615,492,Yes
6,100.0,Bachelors,6,577,295,Yes
1,72.3,Bachelors,5,150,173,No
2,84.6,Masters,9,443,210,Yes
0,45.8,Masters,8,463,218,No
4,96.1,Masters,9,471,280,Yes
0,43.1,Masters,6,311,31,No
7,75.9,PhD,15,648,366,Yes
0,77.1,Bachelors,7,548,85,No
10,88.9,Masters,7,492,188,Yes
0,42.7,Masters,2,343,34,No
1,80.3,Masters,4,477,168,No
1,64.6,Bachelors,1,223,0,No
11,77.0,Masters,17,876,517,Yes
5,51.9,PhD,10,404,248,Yes
6,76.0,Bachelors,13,616,315,Yes
4,66.8,Masters,3,334,138,Yes
15,89.8,Bachelors,12,652,455,Yes
0,41.2,PhD,7,401,252,No
0,51.2,Bachelors,5,292,183,No
2,68.7,Bachelors,3,341,159,No
13,100.0,Bachelors,17,701,550,Yes
1,60.2,Masters,5,350,250,No
4,82.6,High School,8,676,182,No
11,95.1,Masters,11,751,353,Yes
9,86.5,PhD,13,703,397,Yes
15,76.1,Masters,14,900,522,Yes
5,48.4,High School,11,702,284,No
15,100.0,PhD,24,768,700,Yes
6,65.4,Masters,10,505,254,Yes
3,54.3,Bachelors,7,470,181,No
6,62.3,High School,13,545,325,Yes
10,75.0,Bachelors,11,768,391,Yes
7,88.8,Masters,12,770,310,Yes
10,65.4,High School,8,691,290,Yes
0,69.5,Bachelors,5,270,61,No
14,95.8,Masters,15,765,570,Yes
5,46.1,Masters,14,565,377,Yes
7,79.7,Masters,10,483,331,Yes
4,29.2,Masters,11,694,331,Yes
3,45.6,High School,3,524,69,No
1,70.2,Masters,4,472,127,No
5,67.3,Bachelors,6,566,154,No
5,44.7,Masters,7,489,175,No
10,64.5,Masters,13,504,389,Yes
14,46.4,Bachelors,13,597,522,Yes
15,74.9,PhD,13,684,482,Yes
15,96.2,Bachelors,7,745,386,Yes
0,44.6,High School,4,296,15,No
8,83.5,PhD,17,585,425,Yes
11,83.5,Masters,17,765,425,Yes
10,81.7,Masters,13,781,436,Yes
5,82.8,Bachelors,4,538,179,No
15,88.2,Masters,18,900,483,Yes
12,90.7,High School,13,679,364,Yes
2,24.3,Bachelors,5,505,98,No
3,80.2,Bachelors,6,423,54,Yes
11,55.6,High School,13,573,385,Yes
10,65.2,Masters,15,501,442,Yes
3,52.9,Bachelors,8,374,218,No
2,77.8,Bachelors,7,548,113,No
9,57.7,High School,12,520,499,Yes
2,55.4,Masters,10,545,199,Yes
14,74.8,Masters,13,880,446,Yes
2,65.3,Bachelors,6,449,145,No
3,78.4,Masters,9,467,194,Yes
15,100.0,Bachelors,17,836,459,Yes
6,100.0,Masters,15,480,297,Yes
3,68.8,High School,9,455,249,No
8,79.0,Bachelors,18,836,535,Yes
0,43.0,Masters,11,371,240,No
7,100.0,PhD,14,734,440,Yes
15,90.7,Bachelors,17,787,508,Yes
6,68.9,Masters,14,644,444,Yes
1,69.1,Masters,6,601,216,No
7,69.5,PhD,17,448,542,Yes
0,22.4,Bachelors,8,184,111,No
10,86.1,Bachelors,17,698,505,Yes
11,100.0,Masters,9,809,418,Yes
8,77.4,High School,9,584,252,Yes
8,73.4,Bachelors,12,535,411,Yes
1,55.2,High School,4,362,77,No
6,75.8,Masters,14,548,327,Yes
14,83.1,High School,10,808,469,Yes
13,86.3,Masters,11,560,271,Yes
9,75.9,Bachelors,8,276,205,Yes
2,80.3,High School,5,527,112,No
6,76.6,Bachelors,8,777,259,No
11,81.1,Bachelors,15,457,388,Yes
15,100.0,Masters,20,624,736,Yes
9,89.1,Masters,13,677,299,Yes
15,100.0,Bachelors,12,875,417,Yes
8,57.6,High School,8,636,351,Yes
3,60.0,Masters,6,354,92,No
11,71.0,Masters,9,536,352,Yes
0,72.8,Masters,4,542,52,No
1,74.0,Masters,2,150,109,Yes
0,38.4,Bachelors,3,521,67,No
15,97.1,Masters,19,840,466,Yes
13,100.0,Bachelors,16,900,512,Yes
11,71.5,High School,12,900,456,Yes
4,74.0,Masters,9,593,205,No
4,84.0,PhD,6,393,149,Yes
15,71.4,Masters,16,793,521,Yes
10,79.8,Bachelors,9,667,448,Yes
6,88.6,Bachelors,8,642,194,Yes
8,64.6,Bachelors,14,625,480,Yes
8,89.7,Masters,16,617,423,Yes
2,61.9,Bachelors,10,460,259,Yes
2,55.1,Masters,4,459,30,No
15,86.1,Bachelors,16,626,641,Yes
15,83.4,Masters,15,870,594,Yes
2,55.7,PhD,4,535,143,No
3,59.7,Bachelors,9,392,269,Yes
7,72.5,Bachelors,5,673,267,Yes
5,68.8,Masters,12,771,232,Yes
7,67.5,Bachelors,9,367,314,Yes
0,64.6,Masters,4,332,153,No
7,83.2,Masters,11,494,386,Yes
3,46.3,Bachelors,5,359,123,No
10,77.5,Masters,13,733,462,Yes
0,27.9,Bachelors,7,302,133,No
7,76.6,PhD,16,342,397,Yes
3,65.8,Bachelors,7,497,80,No
5,79.8,Masters,10,359,162,Yes
7,73.8,Bachelors,14,652,480,Yes
3,71.7,Bachelors,11,368,224,Yes
13,84.5,Bachelors,14,642,504,Yes
2,55.1,Masters,10,353,261,No
15,74.5,Masters,19,693,649,Yes
13,83.3,Masters,6,900,433,Yes
8,62.0,Bachelors,6,515,235,Yes
2,63.5,Masters,7,530,179,Yes
8,69.9,Masters,13,641,467,Yes
12,87.8,Bachelors,17,809,551,Yes
1,60.2,Bachelors,4,150,40,No
15,94.2,Bachelors,15,828,421,Yes
13,90.1,Bachelors,18,801,456,Yes
1,56.8,Bachelors,5,317,134,No
1,61.5,Masters,9,465,192,No
5,75.0,Bachelors,9,565,245,Yes
2,100.0,Masters,6,241,177,No
15,80.2,PhD,12,686,412,Yes
12,85.9,Masters,7,890,299,Yes
8,59.3,Masters,15,483,368,Yes
3,58.7,High School,7,599,201,No
0,51.1,Masters,4,332,0,No
3,61.7,Bachelors,8,430,240,No
0,63.6,Masters,12,492,272,No
13,83.7,PhD,14,645,410,Yes
4,42.5,Masters,4,387,142,No
15,100.0,Masters,21,848,745,Yes
3,76.1,Bachelors,8,567,223,No
7,65.0,High School,9,543,274,Yes
15,77.8,Masters,12,900,444,Yes
7,68.3,High School,10,304,380,No
6,78.7,Masters,9,519,249,Yes
2,68.6,High School,3,325,118,No
0,74.2,Masters,7,484,155,No
15,100.0,Bachelors,16,808,502,Yes
0,31.4,Bachelors,6,310,59,No
15,86.7,Masters,15,900,539,Yes
11,94.4,Bachelors,11,661,365,Yes
10,63.6,Bachelors,9,718,304,Yes
2,79.8,Bachelors,9,468,276,Yes
5,94.7,Bachelors,12,546,305,Yes
6,87.4,Bachelors,14,534,415,Yes
5,77.4,Bachelors,5,752,255,No
13,80.5,Masters,12,680,432,Yes
13,87.7,Bachelors,14,684,495,Yes
5,54.8,PhD,10,393,255,Yes
5,55.8,Bachelors,12,524,207,Yes
12,70.8,Bachelors,15,830,494,Yes
2,62.4,Bachelors,5,606,170,No
5,65.4,Masters,7,479,251,Yes
7,70.9,High School,8,592,299,Yes
10,94.4,Masters,15,832,414,Yes
10,66.9,Bachelors,19,778,490,Yes
1,61.7,Bachelors,5,236,121,No
4,63.0,Masters,6,460,101,Yes
13,86.4,Bachelors,12,825,363,Yes
0,67.8,Bachelors,1,156,29,No
11,97.1,Masters,19,798,449,Yes
14,99.3,Masters,13,632,463,Yes
15,97.5,Masters,17,712,533,Yes
0,39.9,Masters,4,347,31,No
4,53.0,Masters,9,722,230,No
11,70.9,Masters,17,900,545,Yes
12,82.4,High School,11,624,409,Yes
15,71.9,Masters,25,779,691,Yes
2,70.3,Masters,7,529,163,No
3,63.0,High School,11,396,236,No
2,32.5,Bachelors,4,494,158,No
15,66.7,High School,11,702,418,Yes
0,76.9,Masters,9,483,116,No
15,98.0,Bachelors,12,653,524,Yes
0,52.2,PhD,6,155,112,No
11,64.0,Bachelors,11,820,366,Yes
11,46.5,Masters,14,666,402,Yes
13,100.0,Bachelors,21,724,560,Yes
12,85.9,Masters,21,630,633,Yes
13,100.0,Masters,25,852,674,Yes
4,66.4,Masters,11,411,172,No
5,75.5,Masters,8,661,244,Yes
2,78.6,Masters,10,150,139,No
11,99.6,High School,9,386,374,Yes
8,81.0,Bachelors,9,721,428,Yes
4,69.3,Masters,10,548,308,Yes
7,71.9,Bachelors,11,469,473,No
12,65.8,Bachelors,15,752,478,Yes
0,55.5,Masters,6,374,236,No
13,84.3,Bachelors,21,652,664,Yes
4,86.2,Bachelors,7,378,267,Yes
14,82.8,Masters,12,900,440,Yes
2,77.4,Bachelors,3,380,20,No
11,73.8,High School,9,665,317,Yes
0,71.7,High School,6,286,92,No
3,77.4,Masters,6,227,123,No
14,100.0,PhD,17,738,509,Yes
12,99.9,Masters,18,494,491,Yes
4,78.0,Bachelors,8,171,184,No
15,100.0,PhD,17,767,595,Yes
6,100.0,Masters,12,558,384,Yes
0,85.5,Masters,8,287,256,No
15,98.2,Masters,15,801,512,Yes
2,54.9,Bachelors,6,279,160,No
15,93.0,Bachelors,15,899,578,Yes
1,30.6,Bachelors,4,484,55,No
8,85.9,Bachelors,12,642,308,Yes
9,63.3,Masters,12,490,297,Yes
14,100.0,Masters,12,900,347,Yes
5,100.0,Masters,9,605,198,Yes
9,53.7,Bachelors,7,834,365,Yes
2,56.2,High School,4,505,98,No
7,51.0,High School,9,543,370,Yes
13,57.6,Bachelors,9,560,368,Yes
7,69.9,Bachelors,7,510,246,Yes
1,72.8,Masters,8,466,146,Yes
15,94.3,High School,5,700,444,Yes
14,95.3,PhD,11,900,483,Yes
5,42.5,Bachelors,4,693,202,No
6,75.1,Masters,9,695,277,Yes
1,37.1,Bachelors,4,404,179,No
14,64.1,Bachelors,22,684,557,Yes
10,66.3,Masters,13,717,475,Yes
9,95.0,Masters,7,579,235,Yes
1,67.7,Bachelors,3,416,65,No
9,80.3,Bachelors,8,690,366,Yes
0,40.1,High School,1,292,63,No
7,69.4,Masters,10,628,339,Yes
0,44.4,PhD,7,404,127,No
8,89.5,High School,7,437,309,Yes
10,100.0,Bachelors,10,700,412,Yes
5,83.3,PhD,4,168,191,No
15,98.5,Bachelors,13,900,442,Yes
6,70.9,Masters,13,611,355,Yes
12,57.2,Bachelors,9,669,275,Yes
9,66.6,Masters,13,568,477,Yes
6,62.5,Bachelors,12,636,272,Yes
9,69.7,Bachelors,14,563,423,Yes
2,47.8,High School,6,308,169,No
1,64.0,Masters,4,340,0,No
8,64.5,Masters,15,340,457,Yes
7,100.0,Masters,12,401,398,Yes
12,64.8,Masters,15,702,510,Yes
11,92.8,Bachelors,13,806,357,Yes
9,67.1,High School,10,551,271,Yes
6,80.2,Masters,12,700,244,Yes
8,81.1,Bachelors,14,388,384,Yes
3,65.9,Bachelors,9,608,208,No
12,64.5,Bachelors,13,636,370,Yes
3,54.0,High School,6,426,187,No
0,60.0,Bachelors,2,348,23,No
7,76.8,Masters,13,646,463,Yes
15,79.7,PhD,14,865,516,Yes
13,100.0,Masters,16,900,461,Yes
15,57.6,PhD,23,900,742,Yes
13,87.2,PhD,15,755,485,Yes
11,65.7,Bachelors,20,736,591,Yes
2,64.2,Bachelors,7,420,176,No
6,88.5,Masters,17,581,347,Yes
14,64.4,Bachelors,15,872,479,Yes
11,100.0,Bachelors,13,587,419,Yes
1,62.5,Bachelors,8,387,254,No
1,65.2,Bachelors,3,382,128,No
15,65.9,Bachelors,13,735,429,Yes
6,68.8,Bachelors,4,410,77,Yes
14,100.0,Bachelors,12,900,426,Yes
5,74.4,Masters,4,802,200,No
2,67.4,Masters,5,374,204,No
8,76.5,Masters,15,677,438,Yes
9,54.8,Bachelors,7,794,326,Yes
14,64.7,Bachelors,13,855,446,Yes
13,100.0,Masters,14,546,514,Yes
12,94.7,Bachelors,16,707,443,Yes
5,86.7,Masters,11,540,336,Yes
9,66.9,Masters,13,654,385,Yes
9,76.9,Masters,9,539,317,Yes
5,93.5,PhD,14,460,336,Yes
0,39.1,Bachelors,4,472,216,No
3,80.4,Bachelors,8,150,298,No
9,70.5,Masters,15,710,459,Yes
5,54.7,Bachelors,7,511,202,No
14,85.0,Bachelors,22,720,625,Yes
5,50.7,Bachelors,11,279,209,No
10,49.0,Bachelors,14,514,509,Yes
11,80.6,Bachelors,16,755,458,Yes
4,69.0,High School,2,213,109,No
0,79.5,Masters,9,565,154,No
7,84.4,Masters,8,332,269,No
4,98.7,Masters,10,440,93,Yes
11,100.0,Masters,14,768,514,Yes
11,90.6,Bachelors,18,900,554,Yes
11,86.5,Bachelors,13,792,562,Yes
4,84.0,Bachelors,15,348,330,Yes
6,40.1,Masters,9,623,169,No
3,60.0,Masters,13,338,450,No
5,39.6,Bachelors,7,456,233,No
12,91.4,Bachelors,11,715,459,Yes
15,83.9,PhD,18,878,558,Yes
3,100.0,Masters,6,580,188,Yes
13,79.5,Masters,15,900,544,Yes
14,87.1,Bachelors,18,691,595,Yes
2,55.5,Bachelors,6,401,203,No
6,65.9,Masters,10,645,382,Yes
7,56.6,Masters,10,473,265,Yes
3,48.0,Masters,6,610,211,No
15,58.6,Masters,15,873,627,Yes
12,93.4,Masters,9,492,332,Yes
1,56.9,Masters,3,376,62,No
11,100.0,Bachelors,10,593,354,Yes
9,56.8,Bachelors,11,717,269,Yes
13,100.0,Masters,17,895,475,Yes
2,85.1,Bachelors,8,595,238,Yes
0,76.7,Bachelors,8,247,163,No
7,78.8,Masters,9,527,322,Yes
14,87.9,PhD,14,770,435,Yes
2,80.6,Bachelors,10,442,284,Yes
11,67.6,Bachelors,9,656,248,Yes
9,83.3,Masters,15,789,395,Yes
6,72.6,Masters,7,619,248,Yes
9,65.9,Masters,14,691,319,Yes
4,69.7,Bachelors,8,415,179,Yes
9,86.6,Bachelors,8,481,224,No
4,55.3,Masters,8,529,243,No
13,94.2,Masters,13,619,444,Yes
6,39.8,Masters,9,589,272,Yes
14,69.8,Bachelors,9,799,463,Yes
8,66.6,Bachelors,9,422,269,Yes
11,84.9,Bachelors,11,566,347,Yes
4,86.0,PhD,10,561,233,Yes
0,62.5,Masters,7,309,174,No
9,84.0,Bachelors,11,558,447,Yes
9,68.6,High School,8,573,304,Yes
0,67.3,Masters,4,300,43,No
14,86.3,High School,13,703,459,Yes
1,55.6,Masters,6,353,78,Yes
15,85.9,Masters,18,900,610,Yes
13,92.5,Bachelors,8,737,454,Yes
5,94.7,Bachelors,6,709,112,No
15,100.0,Masters,20,851,694,Yes
8,56.6,Bachelors,9,557,255,No
7,54.6,Bachelors,9,520,190,No
12,81.0,PhD,22,872,697,Yes
4,70.7,Masters,7,478,309,No
0,62.0,Masters,5,270,116,No
15,100.0,Bachelors,19,892,597,Yes
12,100.0,Bachelors,12,727,384,Yes
6,65.1,High School,8,328,255,No
15,84.1,Bachelors,16,584,521,Yes
14,97.0,Masters,21,667,611,Yes
4,81.4,Bachelors,11,299,303,Yes
5,79.5,Masters,17,389,491,Yes
12,75.0,Bachelors,14,512,480,Yes
6,60.3,Bachelors,11,363,367,Yes
2,52.3,PhD,10,344,320,Yes
11,82.4,Bachelors,13,636,404,Yes
9,84.8,Bachelors,10,708,317,Yes
15,98.5,Bachelors,13,817,504,Yes
2,78.8,Bachelors,10,528,316,No
4,87.7,Bachelors,8,500,202,Yes
5,46.9,Bachelors,7,408,277,No
8,83.3,Masters,10,610,202,Yes
12,91.8,Masters,10,691,287,Yes
13,82.4,Bachelors,17,845,497,Yes
11,62.6,High School,8,721,329,Yes
4,90.9,Masters,8,448,279,Yes
14,72.2,High School,16,854,536,Yes
0,28.4,Masters,5,266,142,No
13,87.6,Masters,25,834,735,Yes
13,79.9,Bachelors,19,721,597,Yes
13,100.0,Masters,15,788,506,Yes
3,78.3,PhD,10,334,226,Yes
4,64.7,Masters,11,317,259,Yes
11,76.5,Bachelors,22,757,653,Yes
15,88.1,Masters,18,900,726,Yes
9,100.0,PhD,14,523,438,Yes
9,85.6,Bachelors,8,492,263,Yes
15,70.1,Masters,12,900,452,Yes
4,57.3,High School,9,443,210,No
6,64.6,High School,5,761,142,Yes
3,50.6,Masters,13,576,333,No
0,34.5,Masters,4,391,54,No
13,96.2,Masters,20,799,602,Yes
13,78.9,PhD,12,650,422,Yes
4,84.2,Bachelors,6,547,172,Yes
6,69.6,Bachelors,11,404,419,Yes
9,75.9,PhD,16,668,437,Yes
